Airport Code,Airport Name,City ,State,Airline,Facility,Weekday,Saturday,Sunday,latitude_deg,longitude_deg
ABE,Lehigh Valley International,Allentown,Pennsylvania,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,40.651773,-75.442797
ABE,Lehigh Valley International,Allentown,Pennsylvania,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,40.651773,-75.442797
ABI,Abilene Regional Airport,Abilene,Texas,American Eagle,Counter,6:00-21:00,8:00-18:00,N/A,32.41130066,-99.68190002
ABI,Abilene Regional Airport,Abilene,Texas,American Eagle,Counter,6:00-21:00,8:00-18:00,N/A,32.41130066,-99.68190002
ABQ,Albuquerque International Sunport,Albuquerque,New Mexico,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.039976,-106.608925
ABQ,Albuquerque International Sunport,Albuquerque,New Mexico,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.039976,-106.608925
ACK,Nantucket Memorial,Nantucket,Massachusetts,Cape Air,Counter,7:00-19:00,7:00-15:00,N/A,41.25310135,-70.06020355
ACK,Nantucket Memorial,Nantucket,Massachusetts,Cape Air,Counter,7:00-19:00,7:00-15:00,N/A,41.25310135,-70.06020355
ACT,Waco Regional,Waco,Texas,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,31.611299514770508,-97.23049927
ACT,Waco Regional,Waco,Texas,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,31.611299514770508,-97.23049927
ACV,California Redwood Coast-Humboldt County,Arcata,California,United Express,Counter,6:00-22:00,7:00-20:00,8:00-18:00,40.978101,-124.109
ACV,California Redwood Coast-Humboldt County,Arcata,California,United Express,Counter,6:00-22:00,7:00-20:00,8:00-18:00,40.978101,-124.109
ADQ,Kodiak Airport,Kodiak,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,57.75,-152.4940033
ADQ,Kodiak Airport,Kodiak,Alaska,Alaska Airlines,Counter,6:00-22:00,6:00-20:00,8:00-16:00,57.75,-152.4940033
AEX,Alexandria International,Alexandria,Louisiana,American Eagle,Counter,5:00-22:00,7:00-20:00,8:00-18:00,31.3274,-92.549797
AEX,Alexandria International,Alexandria,Louisiana,American Eagle,Counter,5:00-22:00,7:00-20:00,8:00-18:00,31.3274,-92.549797
AGS,Augusta Regional,Augusta,Georgia,Delta Connection,Counter,5:00-22:00,7:00-20:00,8:00-18:00,33.3699,-81.9645
AGS,Augusta Regional,Augusta,Georgia,Delta Connection,Counter,5:00-22:00,7:00-20:00,8:00-18:00,33.3699,-81.9645
AKN,King Salmon Airport,King Salmon,Alaska,Alaska Airlines,Counter,6:00-21:00,6:00-18:00,6:00-15:00,58.677845,-156.651965
AKN,King Salmon Airport,King Salmon,Alaska,Alaska Airlines,Counter,6:00-21:00,6:00-18:00,6:00-15:00,58.677845,-156.651965
ALB,Albany International,Albany,New York,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.74829864501953,-73.80169678
ALB,Albany International,Albany,New York,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.74829864501953,-73.80169678
ALB,Albany International,Albany,New York,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.74829864501953,-73.80169678
ALB,Albany International,Albany,New York,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.74829864501953,-73.80169678
ALB,Albany International,Albany,New York,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.74829864501953,-73.80169678
ALB,Albany International,Albany,New York,Southwest,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,42.74829864501953,-73.80169678
ALB,Albany International Airport,Albany,NY,American,AA Cargo Directory,8:00-17:00,8:00-17:00,,42.74829864501953,-73.80169678
ALB,Albany International Airport,Albany,NY,Delta,Delta Cargo Directory,8:00-17:00,8:00-17:00,,42.74829864501953,-73.80169678
ALB,Albany International Airport,Albany,NY,Southwest,Southwest Cargo,No Cargo,No Cargo,,42.74829864501953,-73.80169678
ALB,Albany International Airport,Albany,NY,United,United Cargo,No Cargo,No Cargo,,42.74829864501953,-73.80169678
ALO,Waterloo Regional,Waterloo,Iowa,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,42.557098388671875,-92.40029907
ALO,Waterloo Regional,Waterloo,Iowa,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,42.557098388671875,-92.40029907
AMA,Rick Husband Amarillo International,Amarillo,Texas,American Eagle,Counter,5:00-22:00,7:00-20:00,8:00-18:00,35.219398,-101.706001
AMA,Rick Husband Amarillo International,Amarillo,Texas,American Eagle,Counter,5:00-22:00,7:00-20:00,8:00-18:00,35.219398,-101.706001
ANC,Ted Stevens Anchorage International,Anchorage,Alaska,Alaska Airlines,Central Facility,24/7,24/7,24/7,61.179004,-149.992561
ANC,Ted Stevens Anchorage International,Anchorage,Alaska,Alaska Airlines,Central Facility,24/7,24/7,24/7,61.179004,-149.992561
ANC,Ted Stevens Anchorage International,Anchorage,Alaska,American,AA Cargo Directory,No Cargo,No Cargo,,61.179004,-149.992561
ANC,Ted Stevens Anchorage International,Anchorage,Alaska,Delta,Delta Cargo Directory,No Cargo,No Cargo,,61.179004,-149.992561
ANC,Ted Stevens Anchorage International,Anchorage,Alaska,Southwest,Southwest Cargo,No Cargo,No Cargo,,61.179004,-149.992561
ANC,Ted Stevens Anchorage International,Anchorage,Alaska,United,United Cargo,No Cargo,No Cargo,,61.179004,-149.992561
APN,Alpena County Regional,Alpena,Michigan,United Express,Counter,6:00-20:00,7:00-18:00,8:00-16:00,45.0780983,-83.56030273
APN,Alpena County Regional,Alpena,Michigan,United Express,Counter,6:00-20:00,7:00-18:00,8:00-16:00,45.0780983,-83.56030273
ART,Watertown International,Watertown,New York,American Eagle,Counter,6:00-20:00,7:00-18:00,N/A,43.991901,-76.021698
ART,Watertown International,Watertown,New York,American Eagle,Counter,6:00-20:00,7:00-18:00,N/A,43.991901,-76.021698
ASE,Aspen/Pitkin County,Aspen,Colorado,American Eagle,Counter,6:00-22:00,7:00-20:00,8:00-18:00,39.223202,-106.869003
ASE,Aspen/Pitkin County,Aspen,Colorado,American Eagle,Counter,6:00-22:00,7:00-20:00,8:00-18:00,39.223202,-106.869003
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,American,AA Cargo Directory,4:00-21:00,Sat: 4:00-19:00, Sun: 4:00-18:00,33.6367,-84.428101
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,Delta,Delta Cargo Directory,7:00-19:00,7:00-19:00,,33.6367,-84.428101
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,Southwest,Southwest Cargo,6:00-22:00,6:00-22:00,,33.6367,-84.428101
ATL,Hartsfield Jackson Atlanta International Airport,Atlanta,GA,United,United Cargo,5:00-19:00,5:00-19:00,,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,American,Central Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,American,Central Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,Delta,Dedicated Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,Delta,Dedicated Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,Southwest,Central Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,Southwest,Central Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,United,Central Facility,24/7,24/7,24/7,33.6367,-84.428101
ATL,Hartsfield/Jackson Atlanta International,Atlanta,Georgia,United,Central Facility,24/7,24/7,24/7,33.6367,-84.428101
ATW,Appleton International,Appleton,Wisconsin,Delta Connection,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,44.258099,-88.519096
ATW,Appleton International,Appleton,Wisconsin,Delta Connection,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,44.258099,-88.519096
AVL,Asheville Regional,Asheville,North Carolina,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.436199,-82.541801
AVL,Asheville Regional,Asheville,North Carolina,Allegiant,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.436199,-82.541801
AVL,Asheville Regional,Asheville,North Carolina,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.436199,-82.541801
AVL,Asheville Regional,Asheville,North Carolina,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,35.436199,-82.541801
AVP,Wilkes-Barre/Scranton International,Avoca,Pennsylvania,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,41.338500976599995,-75.7233963
AVP,Wilkes-Barre/Scranton International,Avoca,Pennsylvania,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,41.338500976599995,-75.7233963
AZO,Kalamazoo/Battle Creek International,Kalamazoo,Michigan,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,42.234901428222656,-85.55210114
AZO,Kalamazoo/Battle Creek International,Kalamazoo,Michigan,American Eagle,Counter,5:30-21:00,6:00-18:00,N/A,42.234901428222656,-85.55210114
BDL,Bradley International,Windsor Locks,Connecticut,American,Dedicated Facility,5:00-22:00,7:00-20:00,8:00-18:00,41.93851,-72.688066
